PMID,DOI,Year,Suggested_Tier,Reason_Tier,Bioactivity_Extracted_NLP,Abstract
42304944,10.1080/22221751.2026.2678654,2026,1.0,Tier 1: enzymatic/direct,,"Sudan virus (SUDV; species <i>Orthoebolavirus sudanense</i>) remains a major public health threat, yet research is limited by restricted access to biosafety level 4 (BSL-4) facilities. To address this, we developed a biologically contained SUDV lacking the essential VP30 gene, restricting replication to VP30-expressing cells. We demonstrate efficient virus rescue, strict functional and genetic containment, and replication kinetics comparable to wild-type SUDV in permissive cells. Using heterologous VP30-expressing cell lines, we observe strong cross-functionality among orthoebolaviruses, whereas Marburg virus VP30 shows minimal activity, highlighting genus-specific constraints. The system supports high-throughput antiviral screening and confirms robust activity of remdesivir. In addition, resistance profiling identified substitutions at residue F549 of viral polymerase L as key determinants for remdesivir resistance, with additional mutations at M675. Together, this biologically contained SUDV system enables safe study of viral replication, antiviral discovery, and resistance evolution under lower biosafety conditions."
42115643,10.1038/s41598-026-51335-y,2026,1.0,Tier 1: enzymatic/direct,,"SARS-CoV-2 vaccination or infection may not protect from future novel coronavirus outbreaks. Although several drugs targeting essential coronavirus proteins are broadly effective, the error-prone coronavirus RNA-dependent RNA polymerase and a rapid viral replication cycle mean that drug resistance will likely emerge. Small molecules that target sequence-stable host proteins could offer more durable pan-coronavirus activity. Here, we show that the well-tolerated and orally bioavailable small molecule SH-BC-893 protects from endosomal, but not plasma membrane, entry by diverse coronavirus strains. SH-BC-893 alters endolysosomal trafficking similar to PIKfyve inhibitors and, like hydroxychloroquine, reduces cathepsin L activity. While all three compounds block endosomal entry mediated by coronavirus spike proteins in vitro, PIKfyve inhibitors and chloroquine derivatives are ineffective or even increase viral titer in vivo. In contrast, SH-BC-893 reduced viral titer in the lungs of mice infected intranasally with the LD50 of the MHV-1 coronavirus by 3 logs. Thus, poor in vivo outcomes when using apilimod or chloroquine as anti-virals likely reflect pharmacologic limitations of these compounds rather than a flawed therapeutic strategy. We anticipate that SH-BC-893 or optimized analogs with similar tissue pharmacology could control infections by novel coronaviruses, particularly if given in combination with TMPRSS2 inhibitors to block entry at the plasma membrane, an obvious escape pathway. Because it targets host rather than viral proteins, SH-BC-893 might also block infection by many other viruses that enter via endosomal pathways: orthomyxoviruses (influenza), filoviruses (Ebola, Marburg), flaviviruses (Dengue, Zika, and West Nile), alphaviruses (Chikungunya) rhabdoviruses (rabies), and bunyaviruses (Hantaan or Sin Nombre). In sum, further evaluation of SH-BC-893 and/or optimized analogs as potential pan-antiviral agents is merited."
41953650,,2026,1.0,Tier 1: enzymatic/direct,,"Uveitis (inflammation inside the eye) is a disabling manifestation of the post-Ebola syndrome that affects 10% to 35% of individuals who survive the infection. Post-Ebola uveitis presents with diverse clinical features but frequently involves the posterior segment of the eye, where the retinal pigment epithelium plays a key role in directing immune responses. Our previous work shows that this epithelium is relatively susceptible to infection with <i>Zaire ebolavirus</i> (EBOV), the strain responsible for most Ebola outbreaks. In addition to production roles, viral proteins may act to alter the molecular responses of host cells. We investigated the activity of EBOV viral protein 24 (VP24) in human retinal pigment epithelial cells. An EBOV VP24 expression plasmid was constructed in-house. Multiple primary cell isolates were lipofectamine-transfected, first with VP24 or control expression plasmids and then with polyinosinic-polycytidylic acid (poly I:C) to simulate viral RNA. A type I interferon (IFN) response to transfection was confirmed by an IFN-β enzyme-linked immunosorbent assay. Cellular immune responses after 4- and 24-h exposures to poly I:C were characterized by reverse transcription-quantitative polymerase chain reaction. Multidimensional scaling, drawing on 19 immune response-related gene transcripts, covering antiviral, immunomodulatory, and proinflammatory molecules, demonstrated changes in gene expression profiles following transfection. Analysis of individual cell isolates showed a range of changes, including upregulation and downregulation of different gene transcripts across the two investigated time points. Our findings suggest VP24 elicits variable immune responses from human retinal pigment epithelial cells, potentially contributing to the variation in clinical presentations of uveitis in Ebola survivors."
41783032,10.1055/s-0045-1809649,2026,1.0,Tier 1: enzymatic/direct,,"The coronavirus disease 2019 (COVID-19) pandemic caused a global emergency. Screening protocols vary regarding the epidemiological situation and the dominant virus variant. Implementing these protocols can be particularly challenging in young children. To evaluate the diagnostic accuracy of routine polymerase chain reaction (PCR) testing in small children. Furthermore, hidden severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) Omicron infections, missed by routine PCR testing, were intraoperatively analyzed, and multiple testing methods were compared. The present prospective cohort study was performed between March and May 2022. All children aged ≤ 6 years who were admitted for adenoidectomy and/or tonsillotomy to the Department of Otorhinolaryngology - Head and Neck Surgery of the Saint Elisabeth Hospital, in Bochum, Germany, were included. Routine PCR swabs were performed ≤ 24 hours before surgery. Intraoperatively, rapid antigen tests, separate naso- and oropharyngeal PCR swabs, adenoid and/or tonsillar tissue for PCR analysis, and serological tests were collected. We included 55 children with negative preoperative PCR tests. Intraoperatively, SARS-CoV-2 particles were detected in 51% of the sample. Among children without a history of SARS-CoV-2 infection within 90 days before surgery, the prevalence was 43%. Compared with the PCR results regarding tissue, the preoperative PCR screening had a sensitivity of 20%, and, in the intraoperative PCR screening, the optimally performed swabs had a sensitivity of 79%. In total, 29% of the positive cases had a cycle threshold (Ct) value < 30. Nasopharyngeal PCR tests detected significantly more SARS-CoV-2 infections than oropharyngeal swabs. Routine PCR tests in infants may present a high rate of false-negative results and a low sensitivity. These findings question preoperative screening protocols that include testing asymptomatic children who have recovered from a recent SARS-CoV-2 infection."
41709047,10.1038/s41594-026-01754-2,2026,1.0,Tier 1: enzymatic/direct,,"Retrons are prokaryotic reverse transcriptase systems that produce multicopy single-stranded DNA (msDNA), yet the principles by which they mediate antiviral defense remain largely unresolved. Here we investigate the mechanism of Escherichia coli Eco2, a minimal retron composed of a single reverse transcriptase-nuclease fusion protein. Cryogenic electron microscopy and hydrogen/deuterium exchange mass spectrometry reveal the structures and dynamics of a trimeric nucleoprotein complex assembled within a branched msDNA scaffold, which cages the TOPRIM nucleases. We show that the phage-encoded endonuclease DenB initiates msDNA degradation, thereby unblocking the nuclease active sites. Activated Eco2 cuts transfer RNAs, resulting in translational shutdown for antiphage defense. We further identify ribosomal protein S1 as a putative RNA chaperone that associates with the msDNA precursor. These findings provide insights into the molecular mechanisms of minimal retrons and establish a structural basis for engineering of Eco2."
41540350,10.1186/s12879-026-12556-8,2026,1.0,Tier 1: enzymatic/direct,,"BACKGROUND: Uganda faced its sixth reported Ebola outbreak between September 2022 and January 2023, the fifth to be recorded as Sudan Virus Disease (SVD) in the country. In response to this, the Ugandan Ministry of Health (MoH), rapidly deployed a mobile laboratory from the National Health Laboratory and Diagnostics Services (NHLDS) within one week of the declared outbreak. Here we describe the deployment of the mobile laboratory to Mubende, the outbreak epicentre, as part of the national response. This provided (1) efficient diagnostics and characterization of Sudan virus cases to support national data reporting (2), greater insight into Sudan virus kinetics, including viral clearance and risk factor analysis and (3) evaluation of the integration of the mobile laboratory into the national outbreak response. METHODS: The mobile laboratory was deployed to the Mubende Regional Referral Hospital and positioned next to the established Ebola Treatment Unit (ETU). The laboratory was deployed for 177 days, in continuous operation by a team of 18 trained personnel. Molecular testing, using reverse-transcriptase polymerase chain reaction (RT-PCR) was carried out on all samples received in the laboratory for both Sudan virus diagnosis and differential diagnosis for other viral haemorrhagic fever (VHFs). All results from the mobile laboratory were fed directly into the national database, to enable a coordinated response to the outbreak and analysis of the outbreak data on a national level. RESULTS: Nationwide, there were 142 confirmed cases, 55 deaths and 22 probable cases reported in the outbreak. During the mobile laboratory deployment, 3282 samples were tested and 72 SVD cases confirmed by RT-PCR, with an average turn-around-time (TAT) of 6 h. In addition to molecular diagnostic confirmation of suspect cases, the mobile laboratory functioned to support follow-up surveillance of Sudan virus survivors (4 breast feeding mothers and 22 males). Sudan virus RNA was found in the breast milk a median of 135 days after initial test positivity and in the semen of male survivors median 176 days later. We observed the highest risk for contracting the disease in health care workers and a significant correlation between patient viral load at initial diagnosis and patient outcome. Differential diagnosis of other VHFs in the mobile laboratory and at the Uganda Virus Research Institute (UVRI) identified 6 Rift Valley fever (RVF) and 7 Crimean-Congo haemorrhagic fever (CCHF) cases co-circulating in the current SVD outbreak. CONCLUSION: Having the mobile laboratory stationed next to the ETU at the epicentre of the outbreak, markedly reduced diagnostic turn-around-time (TAT) and improved interoperability between the laboratory and the ETU, supporting containment and treatment. Furthermore, integration of the mobile laboratory into existing national outbreak systems, ensured rapid data provision for daily decision making by the national task force. The data from this study contributes to a greater understanding of Sudan virus. CLINICAL TRIAL NUMBER: Not applicable."
41505093,10.1093/nar/gkaf1451,2026,1.0,Tier 1: enzymatic/direct,,"Picornaviruses are small viruses with a plus-strand RNA genome in which RNA secondary structures bind cellular proteins to support viral translation and replication. Here, we characterize tRNA anticodon stem-loop-like structures in the 5'- and 3' untranslated regions (UTRs) of the RNA of Mengovirus, a member of the Cardiovirus group in the Picornaviridae family. These RNA elements specifically bind cellular Glycyl-tRNA synthetase (GARS). Mutation of the conserved CCA motifs in the loops of these GARS binding elements (GBEs) impairs binding, as does deletion of the anticodon binding domain of GARS. Mutation of the 3'-UTR GBE reduces Mengovirus translation early after transfection, independent of viral polymerase activity. The 3'UTR GBE is a stronger GARS binding site, and in reporter RNAs with the Mengovirus 5'- and 3'-UTRs, the 3'UTR GBE strongly contributes to recruitment of translation factors and ribosomes, thereby stimulating translation. In contrast, the 5'UTR GBE is a weaker GARS binding site, but its mutation has a stronger effect on translation. Therefore, we hypothesize that a GARS dimer binds strongly to an ""anchor"" site in the 3'UTR with one monomer, while the other monomer interacts with the 5'UTR to stimulate recruitment of translation factors and ribosomes."
41471221,10.3390/pathogens14121266,2025,1.0,Tier 1: enzymatic/direct,,"Ebola virus (EBOV) infection constitutes a significant global public health threat, and no curative treatment is currently available for it. Rapid and accurate detection of EBOV nucleic acid is crucial for controlling the spread of Ebola virus disease (EVD). The gold standard for EBOV diagnosis is real-time reverse transcription polymerase chain reaction (RT-qPCR), which requires costly equipment and skilled personnel, potentially hindering its application for rapid detection, especially in resource-limited settings. Consequently, there is an urgent need to develop a simple, accurate, and rapid diagnostic method for EVD. In this study, a real-time reverse transcription recombinase-aided amplification (RT-RAA) assay was developed for the specific visual detection of the conserved region of the EBOV nucleoprotein (NP) gene. The RT-RAA assay can be completed within 30 min at 42 °C, and results can be visualized using a portable blue light imager. The assay exhibited strong analytical specificity toward EBOV. No cross-reactivity was observed with any of the other public-health-relevant viruses tested. The visual RT-RAA assay demonstrated sensitivity comparable to RT-qPCR, detecting 52 copies per reaction at a 95% probability level, whereas RT-qPCR required 74 copies per reaction. The RAA method demonstrated excellent repeatability and stability, with intra-assay and inter-assay CVs less than 5% and 7%, respectively. These results clearly indicate that the visual RT-RAA method is specific, accurate, simple, rapid, and reliable for EBOV detection."
41427188,10.1021/acsomega.5c09502,2025,1.0,Tier 1: enzymatic/direct,,"Remdesivir was developed as a nucleoside analogue inhibitor targeting the RNA-dependent RNA polymerase (RdRp) of the Ebola virus. It was shown to be an effective treatment for coronavirus disease 2019 caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Remdesivir is incorporated into the RdRp of SARS-CoV-2, and it becomes inactivated when remdesivir comes to the -3 position by adding three nucleotides behind. However, the detailed molecular mechanism of its inactivation remains unknown. In this study, we performed dynamic interaction analysis combining classical molecular dynamics (MD) simulations and fragment molecular orbital (FMO) calculations on the structures of RdRp and RNA complexes with remdesivir at four different positions. The results showed that the interaction between remdesivir at position -3 and Lys593 has significant importance in inhibiting RNA elongation of RdRp. Therefore, the combination of MD and FMO calculations is a useful method to clarify the molecular recognition mechanism in the biological environment."
41324579,10.1099/jgv.0.002183,2025,1.0,Tier 1: enzymatic/direct,,"The 2013 Ebola virus (EBOV) outbreak was the largest in history. Despite recent advances in both vaccines and monoclonal antibody therapies, 12 years later, EBOV still poses a substantial threat. Previously, we published a ligand discovery pipeline combining <i>in silico</i> screening of compounds with a robust and rapid EBOV minigenome assay for early-stage inhibitor validation at Biological Safety Level 2. Here, we present the further use of this pipeline to identify three compounds that also inhibit EBOV minigenome transcription and replication. They are efficacious in the nM range, exhibited low cytotoxicity and were specific, with no effect on either a T7 RNA polymerase-driven firefly luciferase or a Bunyamwera virus minigenome. Furthermore, these small-molecule inhibitors exhibited the ability to block EBOV minigenome activity when applied after establishment of replication complexes, with implications for potential post-exposure EBOV treatment."
